Chesapeake Store	36.767587	-76.240813	500 Volvo Parkway		Chesapeake	23320	VA	United States
Ching Dao Tower	31.245	121.453091	51 Lujianzui West Road	Pudong Xinqu	Shanghai			China
Clean Cotton Plantation	30.558096	-89.653879	600 Country Club Drive		Picayune	39466	MS	United States
Cole Tower	25.11868	55.263605	526 Building No 8 Al Sufouh Road		Dubai			United Arab Emirates
Colombia Bank	34.064407	-81.029619	1100 Buckner Road		Colombia	29203	SC	United States
Consulting Gurus	36.104317	-95.973408	1401 E 41st St.		Tulsa	74105	OK	United States
Dallas / Fort Worth International Airport	32.874271	-97.015658	3200 E Airfield Dr.		Dallas	75261	TX	United States
Denver International Airport	39.838816	-104.671865	8500 Pena Boulevard		Denver	80249	CO	United States
Des Moines	41.589447	-93.612515	400 E Locust		Des Moines	50309	IA	United States
Detroit Plant	42.329133	-83.046098	500 Griswold St		Detroit	48226	MI	United States
Direct Outlet	33.54247	-86.540814	6200 Grand River Blvd East		Leeds	35094	AL	United States
Drilling Health Clinic	33.6589	-84.422899	285 International Drive		Atlanta	30313	GA	United States
Farmer Joe's Farm	31.613139	-84.255907	3800 Old Dawson Rd		Albany	31721	GA	United States
Flint Plant	43.01182	-83.690775	809 Church St.		Flint	48502	MI	United States
Foot Care	32.040997	-81.063723	2106 East Victoria Drive		Savannah	31404	GA	United States
Forrest Neighborhood	33.950206	-84.512085	70 Powers Ferry Rd SE		Marietta	30067	GA	United States
Fort Worth Plant	32.754702	-97.330249	525 Commerce St		Fort Worth	76102	TX	United States
Framing Fuel	41.260676	-96.06976	10020 Regency Circle		Omaha	68114	NE	United States
Global HQ	33.9522714	-84.5500764	30 South Park Square		Marietta	30060	GA	United States
Grand Rapids Plant	42.965034	-85.670099	98 Monroe Ctr NW		Grand Rapids	49503	MI	United States
Great Fit Clothes Beach Strip Store	25.789809	-80.131897	1620 Washington Ave		Miami Beach	33139	FL	United States
Great Fit Clothes Daytona Beach Store	29.168291	-80.978359	3004 S Atlantic Ave		Daytona Beach	32118	FL	United States
Great Fit Clothes Disney Store	28.370761	-81.513494	1640 Buena Vista Dr.		Orlando	32830	FL	United States
Great Fit Clothes North Bay Store	25.84838	-80.160249	144 79th St Causeway		North Bay Village	33141	FL	United States
Great Fit Clothes Orlando Store	28.450902	-81.388788	847 Sand Lake Rd.		Orlando	32819	FL	United States
Great Fit Clothes Port Orange Store	29.144559	-80.987992	3855 South Ridgewood Ave		Port Orange	32129	FL	United States
Great Fit Clothes Universal Store	28.477723	-81.474753	1000 Universal Studios Plaza		Orlando	32819	FL	United States
Happy Helpers	42.847625	-106.3756	300 E Wyoming Blvd		Casper	82609	WY	United States
Hartsfield Jackson Atlanta International Airport	33.641658	-84.446517	6000 North Terminal Parkway		Atlanta	30320	GA	United States
Healing Health Clinic	33.768083	-84.349032	506 Moreland Ave		Atlanta	30307	GA	United States
Heartland Plant	44.78636	-89.847221	602 Industrial Ct		Heartland	53029	WI	United States
Hilton Head Store	32.18694	-80.718201	32 Shelter Cove Lane		Hilton Head Island	29928	SC	United States
Indian Hills	34.087185	-84.477992	12400 Highway 92		Woodstock	30188	GA	United States
Jackson Bank	32.299947	-90.185585	210 E Capitol St. #190		Jackson	39201	MS	United States
Jacksonville Bank	30.304232	-81.655365	1960 San Marco Blvd		Jacksonville	32207	FL	United States
JBTD Consulting	35.954593	-83.926181	1235 Phillip Fulmer Way		Knoxville	37996	TN	United States
Jersey City Plant	40.713973	-74.037954	199 Washington Street		Jersey City	7302	NJ	United States
John F. Kennedy International Airport	40.64514	-73.786709	Van Wyck Expy & JFK Expy		Queens	11422	NY	United States
Krebs Tower	40.748368	-73.984627	350 5th Ave Suite 300		New York	10118	NY	United States
Las Vegas Power Plant	36.141729	-115.170176	2665 S Highland		Las Vegas	89109	NV	United States
Lima Hotel	-12.104215	-77.048912	807 Chiclayo		Lima			Peru
Long Beach Plant	37.271875	-119.270229	2650 E 28th Street		Singal Hill	90755	CA	United States
Los Angeles International Airport	33.944108	-118.397517	1 World Way		Los Angeles	98045	CA	United States
Louis Plant	38.627182	-90.346491	1601 S Brentwood Blvd St.		Louis	63144	MO	United States
Louisiana Plant	30.430782	-91.111877	7529 Corporate Blvd		Baton Rouge	70809	LA	United States
Madrid Hotel	40.415593	-3.695401	Plaza de las Cortes 7		Madrid			Spain
Madrid Plant	40.477655	-3.70351	Paseo de San Francisco de Sales e		Madrid	28003		Spain
Mall of The Decade	34.048063	-84.298371	1000 North Point Circle		Alpharetta	30022	GA	United States
Marietta Mall	33.971664	-84.550756	811 Church St.		Marietta	30060	GA	United States
Mexico City Hotel	19.32261	-99.125031	Ignacio Altamirano 49 Tizapan San Angel		Mexico City Distrito Federal			Mexico
Miami Factory	25.774126	-80.192998	22 East Flagler St.		Miami	33131	FL	United States
Mid West Office	44.500048	-88.050294	1006 Shadow Lane		Green Bay	54304	WI	United States
Mississippi Plant	32.407176	-90.140684	710 Ridgewood Rd		Ridgeland	39157	MS	United States
Mobile Bank	30.692121	-88.041286	121 Dauphin Street		Mobile	36604	AL	United States
Montana Nuclear Power Plant	46.866998	-114.020499	1600 S 3rd St. W		Missoula	59801	MT	United States
Montgomery Manufacturing	32.358232	-86.299474	431 Cloverdale Rd		Montgomery	36106	AL	United States
Montpelier Business Park	44.260311	-72.576358	30 State Street		Montpelier	5602	VT	United States
Moo Milks Farm	31.845533	-86.639391	902 Fort Dale Rd		Greenville	36037	AL	United States
Morgondorffer Consulting	35.417678	-81.559578	232 East Main St.		Lawndale	28090	NC	United States
Nashville Bank	36.147087	-86.799385	402 21st Ave S		Nashville	37203	TN	United States
Neverland Land Fill	45.876658	-111.410433	10585 Two Dog Rd		Three Forks	59752	MT	United States
New Mexico Hotel	35.695354	-105.950897	600 N Guadalupe		Santa Fe	87501	NM	United States
New York Facility	40.758012	-73.97931	10 Rockefeller Plaza		New York	10020	NY	United States
Newark Airport Grill	40.691959	-74.180298	1 Hotel Road		Newark	7114	NJ	United States
North Augusta Store	33.501299	-81.959574	1234 Knox Ave		North Augusta	29841	SC	United States
North Hospital	33.807765	-84.393717	1968 Peachtree Road NW		Atlanta	30309	GA	United States
Northeast Office	41.710631	-71.398476	2485 Warwick Ave		Warwick	2886	RI	United States
Northern Trees	45.520258	-122.625098	3756 SE Oak St.		Portland	97214	OR	United States
O'Hare International Airport	41.88415	-87.632409	10000 West O'Hare		Chicago	60666	IL	United States
Office Park at Newport	44.938892	-72.202798	129 Grandner Park Road		Newport	5855	VT	United States
Pacific Plant	46.668706	-123.786971	800 Alber St		South Bend	98586	WA	United States
Philadelphia Factory	39.950188	-75.170911	1805 Walnut Street		Philadelphia	19103	PA	United States
Portland Business Park	43.659119	-70.25672	389 Congress St		Portland	4101	ME	United States
Qingdao Distribution Center	36.082748	120.350311	81 Shenxian Road Shinan	Shandong	Qingdao			China
Queens Grill	40.725879	-73.791205	176-60 Union Turnpike		Fresh Meadows	11366	NY	United States
Quito Hotel	-0.082335	-78.377388	349 Jose J Olmedo		Quito			Ecuador
Raleigh Store	35.777429	-78.639402	234 Fayetteville Street		Raleigh	27601	NC	United States
Richmond Store	37.552565	-77.47898	3002 West Cary Street		Richmond	23221	VA	United States
RK Broadcasting ATL	33.73978	-84.406906	585 Wells St.	587 Wells St.	Atlanta	30312	GA	United States
RK Broadcasting Central Park	40.768463	-73.981574	1 Central Park West	5 Central Park West	New York	10023	NY	United States
RK Broadcasting Media Center ATL	33.790066	-84.384732	1293 Peachtree St. NE		Atlanta	30309	GA	United States
RK Broadcasting Media Center LA	34.108938	-118.243157	2701 Media Center Drive		Los Angeles	90065	CA	United States
RK Broadcasting Studio LA	34.039267	-118.231999	1335 Willow Street		Los Angeles	90012	CA	United States
RK Broadcasting Studios Broadway	40.756853	-73.985986	1500 Broadway		New York	10035	NY	United States
RK Broadcasting Tower LA	34.053711	-118.250762	255 South Grand Ave		Los Angeles	90012	CA	United States
San Francisco Distribution Center	37.771178	-122.386565	489 Terry A Francois Blvd		San Francisco	94158	CA	United States
San Juan Hotel	18.46617	-66.106654	154 Cil Del Cristo		San Juan	901	PR	United States
San Pedro Distribution Center	33.73357	-118.268862	1046 South Seaside Ave		San Pedro	90731	CA	United States
Santa Barbra Power Plant	34.422594	-119.682399	806 East Yanonali St		Santa Barbra	93103	CA	United States
Savannah Facility	32.077417	-81.089611	124 Abercorn Street		Savannah	31401	GA	United States
Savannah Finger Clinic	32.025889	-81.223963	5720 Ogeechee road		Savannah	31419	GA	United States
Scranton Factory	41.405691	-75.662508	700 Lackawanna Ave		Scranton	18503	PA	United States
Seattle Power Plant	47.625505	-122.344987	702 6th Ave N		Seattle	98109	WA	United States
Southeast Office	36.099666	-80.247412	301 West 5th St.		Winston-Salem	27101	NC	United States
Southwest Office	35.102255	-106.604271	2103 Carlisle Boulevard NE		Albuquerque	87110	NM	United States
Stars Hospital	33.507986	-86.788726	810 St. Vincent Drive		Birmingham	35205	AL	United States
Suzy's Beef Farm	31.446284	-83.583077	5 Springhill Drive East		Tifton	31793	GA	United States
Techno Technology Building	34.045781	-118.251144	600 South Spring St.		Los Angeles	90013	CA	United States
Techno Technology, Boston Office	42.361248	-71.065409	181 Cambridge St		Boston	2114	MA	United States
Techno Technology, Buffalo Office	42.890929	-78.876674	235 Delaware Avenue		Buffalo	14202	NY	United States
Techno Technology, Charlotte Office	35.227294	-80.842944	101 North Tryon St		Charlotte	28246	NC	United States
Techno Technology, Indianapolis Office	39.768185	-86.15751	55 Monument Circle		Indianapolis	46204	IN	United States
Techno Technology, Los Angeles Office	34.022785	-118.438375	11666 National Blvd		Los Angeles	90064	CA	United States
Techno Technology, San Diego Office	32.748375	-117.158042	711 University Ave		San Diego	92103	CA	United States
Techno Technology, San Francisco Office	37.76414	-122.402517	450 Rhode Island St.		San Francisco	94107	CA	United States
Texas Power Plant	32.786879	-96.802422	1900 North Akard St.		Dallas	75201	TX	United States
The Veranda Mall	33.377309	-86.810567	3000 Riverchase Galleria		Hoover	35244	AL	United States
Thomas Neighborhood	33.793777	-84.274444	2875 North Decatur Rd		Decatur	30033	GA	United States
Times Square Grill	40.760377	-73.984667	1600 Broadway		New York	10019	NY	United States
Tokyo Office	35.670469	139.740921	Shibuya 1-22-8		Tokyo			Japan
Traverse City Plant	44.76409	-85.620532	211 East Front St.		Traverse City	49684	MI	United States
We Grow Gas	41.127742	-95.947401	12301 S 25th St.		Bellevue	68123	NE	United States
Welchester Dam	39.505937	-91.666833	42526 Cabin Rd		Perry	63462	MO	United States
West Coast Bamboo	45.01087	-123.023787	155 Mcnary Estates Dr. N		Keizer	97303	OR	United States
West Coast Office	40.757594	-111.871079	544 South 700 East		Salt Lake City	84102	UT	United States
Wilson Neighborhood	34.013071	-84.442138	2677 Tabby Walk		Marietta	30062	GA	United States
Winter Wool Plantation	30.396679	-88.972715	200 Beavoir Rd		Biloxi	39531	MS	United States
Yokohama Distribution Center	35.4527	139.595131	Minato Mirai 2-3-1	Nishi-Ku	Yokohama			Japan
Zhanjiang Distribution Center	21.191151	110.387859	Airport Road Xiashan	Guangdong	Zhanjiang			China
